GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final,com.se300.store.model,CommandException,30,0,0,0,13,0,7,0,7,0
final,com.se300.store.model,Temperature,0,33,0,0,0,6,0,1,0,1
final,com.se300.store.model,Customer,118,0,0,0,39,0,22,0,22,0
final,com.se300.store.model,User,11,25,0,0,6,10,3,5,3,5
final,com.se300.store.model,Aisle,51,68,2,2,14,18,10,6,8,6
final,com.se300.store.model,AisleLocation,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,Inventory,58,43,2,2,18,13,13,4,11,4
final,com.se300.store.model,CommandProcessor,818,0,60,0,108,0,33,0,3,0
final,com.se300.store.model,CustomerAgeGroup,15,0,0,0,3,0,1,0,1,0
final,com.se300.store.model,CustomerType,15,0,0,0,3,0,1,0,1,0
final,com.se300.store.model,ApplianceType,21,0,0,0,4,0,1,0,1,0
final,com.se300.store.model,Device,54,0,0,0,19,0,10,0,10,0
final,com.se300.store.model,SensorType,15,0,0,0,3,0,1,0,1,0
final,com.se300.store.model,Appliance,17,0,0,0,6,0,3,0,3,0
final,com.se300.store.model,InventoryType,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,Sensor,12,0,0,0,4,0,2,0,2,0
final,com.se300.store.model,InventoryLocation,13,8,0,0,5,3,3,1,3,1
final,com.se300.store.model,Store,110,88,11,3,21,23,15,8,8,8
final,com.se300.store.model,Shelf,61,59,3,3,17,15,13,4,10,4
final,com.se300.store.model,Basket,355,0,26,0,81,0,29,0,16,0
final,com.se300.store.model,ShelfLevel,0,21,0,0,0,4,0,1,0,1
final,com.se300.store.model,StoreException,14,9,0,0,6,4,4,1,4,1
final,com.se300.store.model,Product,63,27,0,0,21,10,14,2,14,2
final,com.se300.store.model,StoreLocation,20,9,0,0,7,4,5,1,5,1
final,com.se300.store,SmartStoreApplication,28,182,3,3,12,50,5,6,2,6
final,com.se300.store.service,StoreService,698,286,97,25,152,84,78,18,19,16
final,com.se300.store.service,AuthenticationService,12,68,4,4,4,19,5,6,1,6
final,com.se300.store.servlet,JsonHelper,34,24,0,0,7,9,7,2,7,2
final,com.se300.store.servlet,BaseServlet.ErrorResponse,9,12,0,0,3,5,3,1,3,1
final,com.se300.store.servlet,BaseServlet,21,78,4,4,5,23,4,6,1,5
final,com.se300.store.repository,StoreRepository,0,62,0,0,0,17,0,7,0,7
final,com.se300.store.repository,UserRepository,0,107,1,3,0,26,1,8,0,7
final,com.se300.store.controller,StoreController,60,122,4,8,18,38,4,7,0,5
final,com.se300.store.controller,UserController,25,135,4,10,8,42,4,8,0,5
final,com.se300.store.data,DataManager,16,56,2,4,5,20,5,7,3,6
